w_judge,fairness,stability,entertainment,total
0.3,0.622,0.9345794392523364,0.7,2.256579439252336
0.31,0.6234,0.9354536950420954,0.69,2.2488536950420954
0.32,0.6247999999999999,0.9363295880149812,0.6799999999999999,2.241129588014981
0.32999999999999996,0.6262,0.9372071227741331,0.67,2.2334071227741332
0.33999999999999997,0.6275999999999999,0.9380863039399624,0.66,2.2256863039399626
0.35,0.629,0.9389671361502347,0.65,2.217967136150235
0.36,0.6304,0.9398496240601504,0.64,2.2102496240601504
0.37,0.6317999999999999,0.9407337723424272,0.63,2.202533772342427
0.38,0.6332,0.9416195856873822,0.62,2.1948195856873824
0.38999999999999996,0.6346,0.942507068803016,0.6100000000000001,2.187107068803016
0.39999999999999997,0.636,0.9433962264150942,0.6000000000000001,2.1793962264150943
0.41,0.6374,0.9442870632672333,0.5900000000000001,2.1716870632672336
0.42,0.6388,0.9451795841209829,0.5800000000000001,2.163979584120983
0.42999999999999994,0.6401999999999999,0.946073793755913,0.5700000000000001,2.156273793755913
0.43999999999999995,0.6416,0.9469696969696969,0.56,2.148569696969697
0.44999999999999996,0.643,0.9478672985781991,0.55,2.140867298578199
0.45999999999999996,0.6443999999999999,0.9487666034155597,0.54,2.1331666034155594
0.47,0.6457999999999999,0.9496676163342831,0.53,2.1254676163342827
0.48,0.6472,0.9505703422053231,0.52,2.117770342205323
0.49,0.6486000000000001,0.9514747859181732,0.51,2.110074785918173
0.49999999999999994,0.6499999999999999,0.9523809523809523,0.5,2.102380952380952
0.51,0.6514,0.9532888465204957,0.49,2.094688846520496
0.52,0.6528,0.9541984732824427,0.48,2.086998473282443
0.5299999999999999,0.6541999999999999,0.9551098376313276,0.4700000000000001,2.0793098376313277
0.5399999999999999,0.6556,0.9560229445506692,0.4600000000000001,2.0716229445506693
0.5499999999999999,0.657,0.9569377990430623,0.45000000000000007,2.0639377990430625
0.5599999999999999,0.6584,0.9578544061302682,0.44000000000000006,2.056254406130268
0.57,0.6597999999999999,0.9587727708533078,0.43000000000000005,2.048572770853308
0.58,0.6612,0.9596928982725528,0.42000000000000004,2.0408928982725527
0.59,0.6626,0.9606147934678195,0.41000000000000003,2.0332147934678195
0.5999999999999999,0.6639999999999999,0.9615384615384615,0.40000000000000013,2.0255384615384617
0.6099999999999999,0.6654,0.9624639076034649,0.3900000000000001,2.017863907603465
0.6199999999999999,0.6668,0.9633911368015414,0.3800000000000001,2.0101911368015415
0.6299999999999999,0.6681999999999999,0.9643201542912248,0.3700000000000001,2.0025201542912248
0.6399999999999999,0.6696,0.9652509652509652,0.3600000000000001,1.9948509652509652
0.6499999999999999,0.6709999999999999,0.9661835748792271,0.3500000000000001,1.9871835748792273
0.6599999999999999,0.6723999999999999,0.9671179883945841,0.3400000000000001,1.9795179883945841
0.6699999999999999,0.6738,0.9680542110358181,0.33000000000000007,1.9718542110358181
0.6799999999999999,0.6751999999999999,0.9689922480620154,0.32000000000000006,1.9641922480620153
0.69,0.6766,0.9699321047526674,0.31000000000000005,1.9565321047526676
0.7,0.678,0.970873786407767,0.30000000000000004,1.948873786407767
