week_key,season,week,contestant,posterior_mean,posterior_std,ci_lower,ci_upper,fan_rank,method
1_1,1,1,John O'Hurley,0.16618041926937027,0.1389667911677803,0.005519615910911956,0.5138539477732694,4,bayesian_mcmc
1_1,1,1,Kelly Monaco,0.16688382526241555,0.14336990859567778,0.005327916494549591,0.5284141886084874,2,bayesian_mcmc
1_1,1,1,Evander Holyfield,0.16570621992105897,0.14089098009214684,0.005277811870935237,0.5197888151806778,6,bayesian_mcmc
1_1,1,1,Rachel Hunter,0.16870853062248453,0.14274161626145454,0.005478813861026068,0.522923567443975,1,bayesian_mcmc
1_1,1,1,Joey McIntyre,0.1663617846295387,0.13893979542716428,0.005985077732476097,0.5146115874504676,3,bayesian_mcmc
1_1,1,1,Trista Sutter,0.16615922029513125,0.1408577508531528,0.004713389639296377,0.5260770211955222,5,bayesian_mcmc
1_2,1,2,John O'Hurley,0.04242007494915997,0.03195519724410473,0.001188332882037032,0.11524119077521446,6,bayesian_mcmc
1_2,1,2,Kelly Monaco,0.17683468573389238,0.08572773766321401,0.015025599396929957,0.33471201773836323,3,bayesian_mcmc
1_2,1,2,Evander Holyfield,0.1866251493053608,0.09940238731514732,0.01157782951506223,0.39508602622295375,2,bayesian_mcmc
1_2,1,2,Rachel Hunter,0.07458435483075669,0.047537089604991985,0.00337156028454943,0.16694374970301082,5,bayesian_mcmc
1_2,1,2,Joey McIntyre,0.1153594587785165,0.06244593732643086,0.005224245855485903,0.23196861575267144,4,bayesian_mcmc
1_2,1,2,Trista Sutter,0.40417627640231446,0.11483170727873672,0.23667136066857372,0.671148353584613,1,bayesian_mcmc
1_3,1,3,John O'Hurley,0.19999999999999998,2.7755575615628914e-17,0.2,0.2,1,bayesian_mcmc
1_3,1,3,Kelly Monaco,0.19999999999999998,2.7755575615628914e-17,0.2,0.2,2,bayesian_mcmc
1_3,1,3,Evander Holyfield,0.19999999999999998,2.7755575615628914e-17,0.2,0.2,3,bayesian_mcmc
1_3,1,3,Rachel Hunter,0.19999999999999998,2.7755575615628914e-17,0.2,0.2,4,bayesian_mcmc
1_3,1,3,Joey McIntyre,0.19999999999999998,2.7755575615628914e-17,0.2,0.2,5,bayesian_mcmc
1_4,1,4,John O'Hurley,0.177030110764969,0.10620250082888197,0.009845493917295896,0.3901552350342115,3,bayesian_mcmc
1_4,1,4,Kelly Monaco,0.09633251014590574,0.0697661045011617,0.003196984245320082,0.2519549359798495,4,bayesian_mcmc
1_4,1,4,Rachel Hunter,0.4732527131777768,0.16038390595214957,0.16705775426225003,0.8018368494229756,1,bayesian_mcmc
1_4,1,4,Joey McIntyre,0.2533846659113495,0.1785783734721379,0.010576729335158599,0.6859295328108072,2,bayesian_mcmc
1_5,1,5,John O'Hurley,0.33333333333333337,5.551115123125783e-17,0.3333333333333333,0.3333333333333333,1,bayesian_mcmc
1_5,1,5,Kelly Monaco,0.33333333333333337,5.551115123125783e-17,0.3333333333333333,0.3333333333333333,2,bayesian_mcmc
1_5,1,5,Joey McIntyre,0.33333333333333337,5.551115123125783e-17,0.3333333333333333,0.3333333333333333,3,bayesian_mcmc
1_6,1,6,John O'Hurley,0.5050389562528449,0.28912020923028386,0.025729796973430027,0.973723851567908,1,bayesian_mcmc
1_6,1,6,Kelly Monaco,0.4949610437471553,0.28912020923028386,0.026276148432092063,0.97427020302657,2,bayesian_mcmc
2_1,2,1,Tatum O'Neal,0.09999999999999999,1.3877787807814457e-17,0.1,0.1,1,bayesian_mcmc
2_1,2,1,Tia Carrere,0.09999999999999999,1.3877787807814457e-17,0.1,0.1,2,bayesian_mcmc
2_1,2,1,George Hamilton,0.09999999999999999,1.3877787807814457e-17,0.1,0.1,3,bayesian_mcmc
2_1,2,1,Lisa Rinna,0.09999999999999999,1.3877787807814457e-17,0.1,0.1,4,bayesian_mcmc
2_1,2,1,Stacy Keibler,0.09999999999999999,1.3877787807814457e-17,0.1,0.1,5,bayesian_mcmc
2_1,2,1,Jerry Rice,0.09999999999999999,1.3877787807814457e-17,0.1,0.1,6,bayesian_mcmc
