week_key,season,week,contestant,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,ci_width,n_bootstrap
1_1,1,1,John O'Hurley,0.16666666666666702,3.3306690738754696e-16,0.16666666666666669,0.16666666666666669,0.0,500
1_1,1,1,Kelly Monaco,0.16666666666666702,3.3306690738754696e-16,0.16666666666666669,0.16666666666666669,0.0,500
1_1,1,1,Evander Holyfield,0.16666666666666702,3.3306690738754696e-16,0.16666666666666669,0.16666666666666669,0.0,500
1_1,1,1,Rachel Hunter,0.16666666666666702,3.3306690738754696e-16,0.16666666666666669,0.16666666666666669,0.0,500
1_1,1,1,Joey McIntyre,0.16666666666666702,3.3306690738754696e-16,0.16666666666666669,0.16666666666666669,0.0,500
1_1,1,1,Trista Sutter,0.16666666666666702,3.3306690738754696e-16,0.16666666666666669,0.16666666666666669,0.0,500
1_2,1,2,John O'Hurley,0.16666515693766287,8.326672684688674e-16,0.16666515693766204,0.16666515693766204,0.0,500
1_2,1,2,Kelly Monaco,0.1666660687685973,1.0269562977782698e-15,0.16666606876859832,0.16666606876859832,0.0,500
1_2,1,2,Evander Holyfield,0.16666751657642573,1.2490009027033011e-15,0.16666751657642698,0.16666751657642698,0.0,500
1_2,1,2,Rachel Hunter,0.1666665814003724,1.1657341758564144e-15,0.16666658140037124,0.16666658140037124,0.0,500
1_2,1,2,Joey McIntyre,0.16666705627723355,1.3877787807814457e-15,0.16666705627723216,0.16666705627723216,0.0,500
1_2,1,2,Trista Sutter,0.16666762003970864,7.216449660063518e-16,0.16666762003970936,0.16666762003970936,0.0,500
1_3,1,3,John O'Hurley,0.28368794326240976,1.5543122344752192e-15,0.2836879432624113,0.2836879432624113,0.0,500
1_3,1,3,Kelly Monaco,0.14184397163120488,7.771561172376096e-16,0.14184397163120566,0.14184397163120566,0.0,500
1_3,1,3,Evander Holyfield,0.007092198581560214,6.938893903907228e-17,0.0070921985815602835,0.0070921985815602835,0.0,500
1_3,1,3,Rachel Hunter,0.35460992907801125,2.886579864025407e-15,0.35460992907801414,0.35460992907801414,0.0,500
1_3,1,3,Joey McIntyre,0.21276595744680651,1.970645868709653e-15,0.21276595744680848,0.21276595744680848,0.0,500
1_4,1,4,John O'Hurley,0.2500000000490809,2.3869795029440866e-15,0.2500000000490785,0.2500000000490785,0.0,500
1_4,1,4,Kelly Monaco,0.2499999992168974,1.7208456881689926e-15,0.2499999992168991,0.2499999992168991,0.0,500
1_4,1,4,Rachel Hunter,0.250000000684026,1.3322676295501878e-15,0.25000000068402733,0.25000000068402733,0.0,500
1_4,1,4,Joey McIntyre,0.250000000049994,1.0547118733938987e-15,0.25000000004999506,0.25000000004999506,0.0,500
1_5,1,5,John O'Hurley,0.592885375494068,3.219646771412954e-15,0.5928853754940712,0.5928853754940712,0.0,500
1_5,1,5,Kelly Monaco,0.395256916996052,4.551914400963142e-15,0.3952569169960474,0.3952569169960474,0.0,500
1_5,1,5,Joey McIntyre,0.011857707509881512,8.847089727481716e-17,0.011857707509881424,0.011857707509881424,0.0,500
1_6,1,6,John O'Hurley,0.5,0.0,0.5,0.5,0.0,500
1_6,1,6,Kelly Monaco,0.5,0.0,0.5,0.5,0.0,500
2_1,2,1,Tatum O'Neal,0.16605166051660514,5.551115123125783e-17,0.1660516605166052,0.1660516605166052,0.0,500
2_1,2,1,Tia Carrere,0.0922509225092247,4.0245584642661925e-16,0.0922509225092251,0.0922509225092251,0.0,500
2_1,2,1,George Hamilton,0.055350553505534604,4.579669976578771e-16,0.05535055350553506,0.05535055350553506,0.0,500
2_1,2,1,Lisa Rinna,0.0738007380073805,4.163336342344337e-16,0.07380073800738009,0.07380073800738009,0.0,500
2_1,2,1,Stacy Keibler,0.12915129151291357,1.582067810090848e-15,0.12915129151291516,0.12915129151291516,0.0,500
2_1,2,1,Jerry Rice,0.11070110701106921,9.159339953157541e-16,0.11070110701107012,0.11070110701107012,0.0,500
2_1,2,1,Giselle Fernandez,0.16605166051660514,5.551115123125783e-17,0.1660516605166052,0.1660516605166052,0.0,500
