feature,importance_judge,importance_fan,diff,ratio
last_week,0.51216825512876,0.6362071692222917,0.12403891409353174,1.2421839165688426
season.1,0.09102491020630706,0.032004012042652054,-0.059020898163655,0.35159619421711774
season,0.06957472737464486,0.026968940456702704,-0.04260578691794216,0.3876255277684128
season_scaled,0.08249758883147129,0.04088592016639173,-0.04161166866507956,0.4956013950947665
partner_id,0.03580707474093463,0.05918570566843664,0.02337863092750201,1.652905352681185
season_group,0.05812074876630107,0.040650845928157646,-0.017469902838143425,0.6994205463812833
age_scaled,0.054269078233116885,0.04060701487934329,-0.013662063353773596,0.7482532618314889
industry_Radio Personality,0.004144092171243879,0.016251935633614274,0.012107843462370396,3.9217118176608894
age,0.040018456140778765,0.05012887617327576,0.010110420032496993,1.2526439268837783
industry_Athlete,0.008767509429175237,0.01719265282511804,0.008425143395942802,1.9609505718707054
industry_Tv Personality,0.008773158569073593,0.0038533187084443484,-0.0049198398606292455,0.4392168036385511
industry_Singer/Rapper,0.0034612502178820543,0.007893995790727762,0.004432745572845708,2.280677519896369
industry_Conservationist,2.1923453007982245e-05,0.004413621196064407,0.004391697743056425,201.3187002333715
industry_Comedian,0.0032627887447544274,9.111256746909758e-05,-0.0031716761772853297,0.02792475143329575
industry_Politician,0.0023649991190068838,0.0,-0.0023649991190068838,0.0
industry_News Anchor,0.002469872887065222,0.0003545968226075845,-0.0021152760644576377,0.14356884927468566
industry_Social Media Personality,0.0010210880413379392,0.002898638599994275,0.0018775505586563358,2.838774129916118
industry_Entrepreneur,0.0018452730111517869,0.0,-0.0018452730111517869,0.0
voting_phase,0.004473031138729796,0.00625486485515166,0.0017818337164218646,1.398350362723568
industry_Actor/Actress,0.008454031406833302,0.007554932784307085,-0.0008990986225262173,0.8936485247541974
industry_Racing Driver,0.0017434123754359772,0.0012026413776558438,-0.0005407709977801334,0.6898203348895378
industry_Sports Broadcaster,0.00015160405444381283,0.0006310529584506129,0.00047944890400680013,4.162504390237487
industry_Military,0.0005660166015194884,0.0001954416760398923,-0.0003705749254795961,0.34529312565375436
industry_Motivational Speaker,8.323961743765085e-05,0.000325631943134462,0.00024239232569681117,3.9119779975030617
industry_Fitness Instructor,0.00030721243302534113,0.00010304178529132302,-0.0002041706477340181,0.3354087942851713
industry_Fashion Designer,0.0001902867520664738,0.0,-0.0001902867520664738,0.0
industry_Model,0.0042874997057563485,0.004105849827407998,-0.00018164987834835052,0.9576326561917347
industry_Beauty Pagent,0.00011876305456944408,0.0,-0.00011876305456944408,0.0
industry_Producer,1.1604717001400017e-05,3.635321850472621e-05,2.4748501503326193e-05,3.1325973085435574
industry_Journalist,0.0,1.8328927650698404e-06,1.8328927650698404e-06,18328.927650698402
industry_Astronaut,5.030771674422166e-07,0.0,-5.030771674422166e-07,0.0
industry_Con Artist,0.0,0.0,0.0,0.0
industry_Magician,0.0,0.0,0.0,0.0
industry_Musician,0.0,0.0,0.0,0.0
